nombre,identidad,empresa,altura,peso,genero,color_ojos,color_pelo,fuerza,inteligencia,
Howard the Duck,Howard (Last name unrevealed),Marvel Comics,79.35,18.45,M,brown,yellow,2,-
Rocket Raccoon,Rocket Raccoon!,Marvel Comics,122.77,25.73,NB,brown,brown,5,average
Wolverine,Logan,Marvel Comics,160.7,135.21,M,blue,black,35,good
Black Widow,Natasha Romanoff,Marvel Comics,170.79,59.34,F,green,auburn,15,good
Mystique,Raven Darkholme,Marvel Comics,178.65,54.96,F,yellow without irises,red   orange,15,good
Spider-Man,Peter Parker,Marvel Comics,178.28,74.25,M,hazel,brown,55,high
Storm,Ororo Munroe,Marvel Comics,180.72,57.5,F,blue,white,10,good
Gamora,Gamora Zen Whoberi Ben Titan,Marvel Comics,183.65,77.77,NB,yellow,black,85,good
Thing,Ben Grimm,Marvel Comics,183.55,225.42,M,blue,no hair,85,good
Thor,Thor Odinson,Marvel Comics,198.35,288.61,M,blue,blond,100,good
Colossus,Piotr Nikolaievitch Rasputin,Marvel Comics,226.13,225.52,NB,silver,black,85,good
Hulk,Bruce Banner,Marvel Comics,244.4,630.9,M,green,green,100,high
Groot,Groot,Marvel Comics,701.12,4.82,M,yellow,-,85,good
Daredevil,Matt Murdock,Marvel Comics,701.12,90.45,M,blue,red,15,good
Nick Fury,Nicholas Joseph Fury,Marvel Comics,185.88,99.28,M,brown,brown   white,15,good
Punisher,Frank Castle,Marvel Comics,183.26,90.9,M,blue,black,20,good
Star-Lord,Peter Jason Quill,Marvel Comics,188.25,79.21,M,blue,blond,20,good
Deadpool,Wade Wilson,Marvel Comics,188.0,95.32,M,brown,no hair,35,good
Captain America,Steve Rogers,Marvel Comics,188.01,108.94,M,blue,blond,20,good
Ghost Rider,Johnny Blaze,Marvel Comics,188.51,99.2,M,red,no hair,55,average
Blade,Eric Brooks,Marvel Comics,188.45,97.4,M,brown,black,30,good
Hawkeye,Clint Barton,Marvel Comics,191.01,104.93,M,blue,blond,2,average
Drax the Destroyer,Arthur Sampson Douglas,Marvel Comics,193.01,306.42,M,red,no hair,80,average
Iron Man,Tony Stark,Marvel Comics,198.91,191.88,M,blue,black,85,high
